Timestamp,IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_Label,Prob_BENIGN,Prob_Bot,Prob_Brute Force,Prob_DoS Attack,Prob_PortScan
2024-12-20_12:22:12,TCP-192.168.12.146:35168-172.217.194.108:587,587.0,208843.0,2.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,37.5,37.5,359.121445296,19.153143749,69614.333333333,72671.404051999,169924.0,90.0,38919.0,38919.0,0.0,38919.0,38919.0,170014.0,170014.0,0.0,170014.0,170014.0,0.0,1.0,0.0,1.0,128.0,114.0,9.576571875,9.576571875,0.0,75.0,18.75,32.475952642,1054.6875,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,18.75,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,64240.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.4201778,2.4851e-08,9.2209955e-09,8.000822e-08,0.5798221
2024-12-20_12:22:12,UDP-192.168.12.146:37644-192.168.12.2:53,53.0,37485.0,2.0,1.0,102.0,59.0,59.0,43.0,51.0,8.0,59.0,59.0,59.0,0.0,4295.051353875,80.032012805,18742.5,13402.5,32145.0,5340.0,37485.0,37485.0,0.0,37485.0,37485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,42.0,53.354675203,26.677337602,43.0,59.0,53.666666667,7.542472333,56.888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,53.666666667,51.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.9716063,1.17591995e-07,8.472172e-09,1.6997357e-06,0.028391885
2024-12-20_12:22:12,UDP-192.168.12.146:59147-192.168.12.2:53,53.0,34627.0,2.0,1.0,114.0,71.0,71.0,43.0,57.0,14.0,71.0,71.0,71.0,0.0,5342.651687989,86.63759494,17313.5,14700.5,32014.0,2613.0,34627.0,34627.0,0.0,34627.0,34627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,42.0,57.758396627,28.879198313,43.0,71.0,61.666666667,13.199326582,174.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,61.666666667,57.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.9865688,1.9687509e-08,5.753262e-10,3.3481007e-07,0.013430815
