Timestamp,IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_Label,Prob_BENIGN,Prob_Bot,Prob_Brute Force,Prob_DoS Attack,Prob_PortScan
2024-12-20_12:25:20,ICMP-192.168.12.140:0-192.168.12.2:0-0,0.0,264.0,3.0,0.0,159.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,602272.727272727,11363.636363636,132.0,117.0,249.0,15.0,264.0,132.0,117.0,249.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,11363.636363636,0.0,53.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.25148103,8.436715e-07,2.3668845e-06,1.9503545e-06,0.7485138
2024-12-20_12:25:20,ICMP-192.168.12.146:0-192.168.12.2:0-0,0.0,370529454.0,13.0,0.0,2497.0,0.0,402.0,67.0,192.076923077,136.809503459,0.0,0.0,0.0,0.0,6.739005423,0.03508493,30877454.5,39361625.783994064,145222057.0,669.0,370529454.0,30877454.5,39361625.783994064,145222057.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,0.03508493,0.0,67.0,402.0,192.076923077,136.809503459,18716.840236686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.076923077,192.076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,312.125,0.0,0.0,0.0,0.0,12.0,62.0,0.0,0.0,0.0,0.0,31180677.5,35626140.65667082,92115605.0,5266185.0,BENIGN,0.93440765,9.111879e-05,0.00028120386,0.0026059877,0.06261398
2024-12-20_12:25:20,ICMP-fe80::7f3a:9602:19c6:a146:0-ff02::16:0-0,0.0,709608.0,2.0,0.0,88.0,0.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,124.012130641,2.818457515,709608.0,0.0,709608.0,709608.0,709608.0,709608.0,0.0,709608.0,709608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,2.818457515,0.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.410442,3.4955071e-06,2.063698e-05,1.724817e-05,0.5895166
2024-12-20_12:25:20,ICMP-fe80::7f3a:9602:19c6:a146:0-ff02::2:0-0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.16224384,3.624042e-06,5.0496044e-07,8.8877147e-07,0.8377511
2024-12-20_12:25:20,TCP-192.168.12.140:34070-192.168.12.146:5000,5000.0,6008574.0,4.0,4.0,4.0,0.0,4.0,0.0,1.0,1.732050808,0.0,0.0,0.0,0.0,0.665715359,1.331430719,858367.714285714,2101982.390719139,6007152.0,36.0,6008538.0,2002846.0,2831471.94672347,6007152.0,279.0,6008511.0,2002837.0,2831739.923397981,6007522.0,325.0,0.0,1.0,0.0,1.0,272.0,272.0,0.665715359,0.665715359,0.0,4.0,0.5,1.322875656,1.75,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,64240.0,510.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.9959821,8.8291966e-07,1.338508e-08,6.9568787e-06,0.0040101614
2024-12-20_12:25:20,TCP-192.168.12.140:34172-192.168.12.146:32768,32768.0,662626.0,4.0,1.0,446.0,0.0,223.0,0.0,111.5,111.5,0.0,0.0,0.0,0.0,673.079535062,7.545734698,165656.5,286799.048451612,662407.0,1.0,662626.0,220875.333333333,312363.477780116,662624.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,272.0,74.0,6.036587758,1.50914694,0.0,223.0,89.2,109.247242528,11934.96,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.25,89.2,111.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,2.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,4.6676887e-05,1.0893128e-12,4.4593805e-14,4.128611e-15,0.9999532
2024-12-20_12:25:20,TCP-192.168.12.140:35638-192.168.12.146:32768,32768.0,5054933.0,5.0,3.0,12.0,0.0,12.0,0.0,2.4,4.8,0.0,0.0,0.0,0.0,2.373918705,1.58261247,722133.285714286,1768073.859231946,5053012.0,35.0,5054933.0,1263733.25,2187761.347628024,5053047.0,76.0,5054617.0,2527308.5,2526708.5,5054017.0,600.0,0.0,1.0,0.0,1.0,338.0,206.0,0.989132794,0.593479676,0.0,12.0,1.5,3.968626967,15.75,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.6,1.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,3.0,0.0,64240.0,509.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.9675809,4.213393e-10,2.0394838e-08,6.3763935e-08,0.032419004
2024-12-20_12:25:20,TCP-192.168.12.140:35642-192.168.12.146:32768,32768.0,823.0,3.0,1.0,53.0,0.0,53.0,0.0,17.666666667,24.984439602,0.0,0.0,0.0,0.0,64398.541919806,4860.267314702,274.333333333,140.086481226,443.0,100.0,823.0,411.5,311.5,723.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,3645.200486027,1215.066828676,0.0,53.0,13.25,22.9496732,526.6875,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,13.25,17.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,9.1404436e-05,9.578466e-12,4.824321e-14,3.0517513e-14,0.9999085
2024-12-20_12:25:20,TCP-192.168.12.140:35654-192.168.12.146:32768,32768.0,5040540.0,5.0,3.0,9.0,0.0,9.0,0.0,1.8,3.6,0.0,0.0,0.0,0.0,1.78552298,1.587131537,720077.142857143,1763448.849060955,5039627.0,24.0,5040540.0,1260135.0,2182104.587112291,5039651.0,75.0,5040340.0,2520170.0,2519880.0,5040050.0,290.0,0.0,1.0,0.0,1.0,338.0,206.0,0.991957211,0.595174327,0.0,9.0,1.125,2.976470225,8.859375,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.6,1.125,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,0.0,64240.0,509.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.96695864,4.2582216e-10,2.0723823e-08,6.358719e-08,0.033041123
2024-12-20_12:25:20,TCP-192.168.12.140:36612-192.168.12.146:5000,5000.0,856.0,3.0,1.0,168.0,0.0,168.0,0.0,56.0,79.195959493,0.0,0.0,0.0,0.0,196261.682242991,4672.897196262,285.333333333,345.671648952,772.0,2.0,856.0,428.0,426.0,854.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,3504.672897196,1168.224299065,0.0,168.0,42.0,72.746133918,5292.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,42.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.02344398,5.1026764e-06,3.409335e-08,1.0957252e-07,0.97655076
