Timestamp,IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_Label,Prob_BENIGN,Prob_Bot,Prob_Brute Force,Prob_DoS Attack,Prob_PortScan
2024-12-20_12:19:49,TCP-192.168.12.140:32774-192.168.12.146:80,80.0,7555.0,3.0,1.0,309.0,0.0,309.0,0.0,103.0,145.663996924,0.0,0.0,0.0,0.0,40900.066181337,529.450694904,2518.333333333,3272.691994198,7145.0,99.0,7555.0,3777.5,3367.5,7145.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,397.088021178,132.362673726,0.0,309.0,77.25,133.800924885,17902.6875,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,77.25,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.2413495,7.856102e-09,1.3073446e-08,2.4413982e-08,0.75865054
2024-12-20_12:19:49,TCP-192.168.12.140:32780-192.168.12.146:80,80.0,23551.0,3.0,1.0,334.0,0.0,334.0,0.0,111.333333333,157.449109944,0.0,0.0,0.0,0.0,14181.988025986,169.844167976,7850.333333333,10887.340946663,23247.0,61.0,23551.0,11775.5,11471.5,23247.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,127.383125982,42.461041994,0.0,334.0,83.5,144.626242432,20916.75,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,83.5,111.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.25373095,9.483134e-09,1.6160056e-08,3.402609e-08,0.746269
2024-12-20_12:19:49,TCP-192.168.12.140:32788-192.168.12.146:80,80.0,27987.0,3.0,1.0,360.0,0.0,360.0,0.0,120.0,169.705627485,0.0,0.0,0.0,0.0,12863.115017687,142.923500197,9329.0,12778.144961874,27400.0,267.0,27987.0,13993.5,13406.5,27400.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,107.192625147,35.730875049,0.0,360.0,90.0,155.884572681,24300.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,90.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.26990438,1.0769877e-08,1.9210518e-08,4.5951627e-08,0.7300955
2024-12-20_12:19:49,TCP-192.168.12.140:32794-192.168.12.146:80,80.0,5852.0,3.0,1.0,372.0,0.0,372.0,0.0,124.0,175.362481734,0.0,0.0,0.0,0.0,63568.010936432,683.526999316,1950.666666667,2343.587610671,5265.0,293.0,5852.0,2926.0,2339.0,5265.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,512.645249487,170.881749829,0.0,372.0,93.0,161.080725104,25947.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,93.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.2832806,1.01112745e-08,1.902388e-08,4.7564033e-08,0.7167194
2024-12-20_12:19:49,TCP-192.168.12.140:32798-192.168.12.146:80,80.0,6343.0,3.0,1.0,367.0,0.0,367.0,0.0,122.333333333,173.00545913,0.0,0.0,0.0,0.0,57859.057228441,630.616427558,2114.333333333,2574.489766062,5755.0,260.0,6343.0,3171.5,2583.5,5755.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,472.962320668,157.654106889,0.0,367.0,91.75,158.915661594,25254.1875,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,91.75,122.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.27895582,9.986674e-09,1.8585073e-08,4.5415366e-08,0.7210441
2024-12-20_12:19:49,TCP-192.168.12.140:32804-192.168.12.146:80,80.0,5966.0,3.0,1.0,309.0,0.0,309.0,0.0,103.0,145.663996924,0.0,0.0,0.0,0.0,51793.496480054,670.465973852,1988.666666667,2315.309386574,5263.0,345.0,5966.0,2983.0,2280.0,5263.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,502.849480389,167.616493463,0.0,309.0,77.25,133.800924885,17902.6875,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,77.25,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.24176216,7.737265e-09,1.29265265e-08,2.4181503e-08,0.7582378
2024-12-20_12:19:49,TCP-192.168.12.140:32814-192.168.12.146:80,80.0,7430.0,3.0,1.0,328.0,0.0,328.0,0.0,109.333333333,154.620682819,0.0,0.0,0.0,0.0,44145.35666218,538.358008075,2476.666666667,3049.919926089,6788.0,210.0,7430.0,3715.0,3073.0,6788.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,403.768506057,134.589502019,0.0,328.0,82.0,142.028166221,20172.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,82.0,109.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.25223762,8.572826e-09,1.4733927e-08,2.997151e-08,0.74776244
2024-12-20_12:19:49,TCP-192.168.12.140:32820-192.168.12.146:80,80.0,7496.0,3.0,1.0,398.0,0.0,398.0,0.0,132.666666667,187.618999275,0.0,0.0,0.0,0.0,53094.983991462,533.617929562,2498.666666667,3097.810445388,6877.0,178.0,7496.0,3748.0,3129.0,6877.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,400.213447172,133.404482391,0.0,398.0,99.5,172.339055353,29700.75,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,99.5,132.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.3012952,1.1202257e-08,2.207725e-08,6.1128866e-08,0.6987048
2024-12-20_12:19:49,TCP-192.168.12.140:32822-192.168.12.146:80,80.0,5882.0,3.0,1.0,377.0,0.0,377.0,0.0,125.666666667,177.719504338,0.0,0.0,0.0,0.0,64093.845630738,680.040802448,1960.666666667,2337.91849492,5263.0,169.0,5882.0,2941.0,2322.0,5263.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,510.030601836,170.010200612,0.0,377.0,94.25,163.245788613,26649.1875,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,94.25,125.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.28709063,1.0289592e-08,1.9538918e-08,4.988477e-08,0.71290934
2024-12-20_12:19:49,TCP-192.168.12.140:32828-192.168.12.146:80,80.0,14817.0,3.0,1.0,364.0,0.0,364.0,0.0,121.333333333,171.591245568,0.0,0.0,0.0,0.0,24566.376459472,269.960180873,4939.0,5669.093754737,12939.0,483.0,14817.0,7408.5,5530.5,12939.0,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,202.470135655,67.490045218,0.0,364.0,91.0,157.616623489,24843.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,91.0,121.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.27412185,1.0452999e-08,1.9040549e-08,4.5923294e-08,0.725878
